Timestamp,Station,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
2024-01-10,Patparganj,175.12,315.23,40.49,0.91,9.8,276.553911205074
2024-01-10,Anand Vihar,177.28,301.01,58.19,4.56,16.99,278.83720930232556
2024-01-10,ITO,108.25,163.72,16.17,1.26,35.46,205.86680761099365
2024-01-11,Anand Vihar,229.72,375.51,76.26,3.96,19.54,334.27061310782244
2024-01-11,Sonia_Vihar,207.38,358.56,42.97,1.7,32.22,310.6553911205074
2024-01-11,Vivek_vihar,226.67,368.53,54.7,1.33,5.71,331.04651162790697
2024-01-11,ITO,159.13,224.01,18.62,1.68,50.91,259.65116279069764
2024-01-11,Patparganj,218.2,392.75,50.59,1.19,18.1,322.09302325581393
2024-01-11,Ashok_Vihar,179.72,355.45,46.7,1.37,6.66,281.4164904862579
2024-01-11,Mandir Marg,195.21,330.08,88.05,1.55,5.74,297.7906976744186
2024-01-12,ITO,148.46,214.13,24.64,1.87,25.93,248.37209302325581
2024-01-12,Sonia_Vihar,209.19,328.07,48.15,1.67,24.68,312.568710359408
2024-01-12,Patparganj,226.93,408.47,53.06,1.21,21.59,331.32135306553914
2024-01-12,Ashok_Vihar,164.54,327.93,56.28,1.38,6.04,265.3699788583509
2024-01-12,Mandir Marg,202.7,298.41,83.23,1.27,6.55,305.70824524312894
2024-01-12,Anand Vihar,253.56,394.33,88.45,3.63,18.49,359.4714587737843
2024-01-12,Vivek_vihar,243.93,372.19,65.07,1.56,5.13,349.291754756871
2024-01-13,Ashok_Vihar,307.31,569.11,75.75,2.16,7.22,465.11
2024-01-13,Mandir Marg,393.07,543.29,102.83,1.97,9.0,506.94503171247356
2024-01-13,Anand Vihar,420.17,609.42,115.6,4.2,25.52,535.5919661733616
2024-01-13,Sonia_Vihar,320.78,479.9,52.75,2.18,18.7,430.5285412262156
2024-01-13,ITO,310.19,433.02,43.27,3.43,19.7,419.3340380549683
2024-01-13,Vivek_vihar,398.93,539.63,72.06,2.47,5.69,513.1395348837209
2024-01-13,Patparganj,482.79,650.84,71.66,2.79,55.32,601.7864693446089
2024-01-14,Mandir Marg,337.69,465.76,95.97,1.83,9.23,448.4038054968288
2024-01-14,Ashok_Vihar,255.74,473.16,78.76,2.12,6.02,369.16
2024-01-14,Anand Vihar,363.57,574.43,100.96,4.9,28.18,475.76109936575057
2024-01-14,Sonia_Vihar,247.85,368.99,49.38,2.12,25.99,353.43551797040163
2024-01-14,ITO,303.69,394.02,36.78,2.92,23.92,412.4630021141649
2024-01-14,Vivek_vihar,371.88,510.51,67.31,2.51,4.04,484.54545454545456
2024-01-14,Patparganj,416.83,540.85,69.28,2.2,43.59,532.061310782241
2024-01-15,ITO,250.29,315.01,29.61,2.18,23.93,356.014799154334
2024-01-15,Mandir Marg,188.32,281.61,86.97,1.75,7.0,290.507399577167
2024-01-15,Ashok_Vihar,149.56,332.15,69.47,1.44,5.88,249.53488372093022
2024-01-15,Anand Vihar,238.57,405.96,107.29,5.13,23.28,343.62579281183935
2024-01-15,Vivek_vihar,225.74,339.94,64.14,1.7,4.2,330.0634249471459
2024-01-15,Sonia_Vihar,175.15,261.54,46.75,1.64,25.08,276.5856236786469
2024-01-15,Patparganj,224.01,336.27,58.69,1.33,26.42,328.23467230443975
2024-01-16,Ashok_Vihar,195.26,404.74,76.71,1.66,5.95,300.74
2024-01-16,Vivek_vihar,278.57,390.61,62.97,2.02,4.84,385.9090909090909
2024-01-16,Patparganj,250.92,376.58,48.33,1.32,23.9,356.6807610993657
2024-01-16,Sonia_Vihar,328.46,500.06,66.02,2.32,19.52,438.64693446088796
2024-01-16,ITO,272.77,343.22,39.03,2.26,19.01,379.7780126849894
2024-01-16,Anand Vihar,295.29,409.95,80.14,4.1,19.36,403.5835095137421
2024-01-16,Mandir Marg,237.8,311.22,85.84,2.26,4.86,342.8118393234672
2024-01-17,Patparganj,184.67,299.67,40.02,0.96,13.46,286.64904862579283
2024-01-17,ITO,203.11,263.92,22.61,1.31,25.35,306.1416490486258
2024-01-17,Vivek_vihar,217.55,347.81,56.97,1.44,5.48,321.4059196617336
2024-01-17,Sonia_Vihar,220.36,390.88,58.29,1.65,29.17,324.3763213530656
2024-01-17,Mandir Marg,194.44,304.14,81.65,1.22,5.22,296.9767441860465
2024-01-17,Ashok_Vihar,167.74,349.59,66.07,1.33,6.74,268.7526427061311
2024-01-17,Anand Vihar,226.16,338.07,71.08,0.79,17.01,330.507399577167
2024-01-18,ITO,197.12,258.34,25.81,1.09,29.95,299.8097251585624
2024-01-18,Anand Vihar,199.32,308.96,69.16,0.47,16.07,302.13530655391116
2024-01-18,Sonia_Vihar,214.07,358.81,54.79,1.7,25.12,317.72727272727275
2024-01-18,Patparganj,162.68,265.36,40.15,1.01,3.52,263.40380549682874
2024-01-18,Mandir Marg,161.95,259.52,85.88,1.26,3.81,262.6321353065539
2024-01-18,Vivek_vihar,193.75,303.99,58.78,1.4,6.61,296.2473572938689
2024-01-18,Ashok_Vihar,168.42,378.68,73.4,1.44,5.99,274.68
2024-01-19,Patparganj,190.34,300.41,40.84,1.13,3.09,292.6427061310782
2024-01-19,Mandir Marg,170.61,254.48,85.69,1.03,2.22,271.7864693446089
2024-01-19,Sonia_Vihar,248.65,396.29,62.02,1.79,9.1,354.2811839323467
2024-01-19,Anand Vihar,207.95,313.08,61.53,0.42,15.26,311.25792811839324
2024-01-19,ITO,224.86,288.74,35.2,0.85,28.86,329.13319238900635
2024-01-19,Vivek_vihar,218.79,325.56,55.42,1.38,7.55,322.71670190274835
2024-01-19,Ashok_Vihar,172.31,353.56,68.12,1.28,5.08,273.58350951374206
