Timestamp,Station,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AQI
2024-02-17,Vivek_vihar,152.0,232.4,56.04,2.71,12.04,252.11416490486258
2024-02-17,Mandir Marg,111.44,157.9,100.46,1.39,15.39,209.23890063424946
2024-02-17,Patparganj,90.57,258.18,46.83,1.16,27.39,187.17758985200845
2024-02-17,Anand Vihar,141.31,405.15,160.17,3.52,19.48,301.15
2024-02-17,Sonia_Vihar,126.03,314.96,59.54,1.86,47.21,224.66173361522198
2024-02-17,Ashok_Vihar,120.45,279.91,89.25,1.43,7.75,218.7632135306554
2024-02-18,Sonia_Vihar,176.66,447.74,84.82,2.37,51.92,343.74
2024-02-18,ITO,147.93,243.59,119.24,2.22,31.26,247.8118393234672
2024-02-18,Mandir Marg,106.69,152.9,110.25,1.12,12.5,204.21775898520085
2024-02-18,Ashok_Vihar,142.51,320.78,145.95,2.53,6.38,242.08245243128962
2024-02-18,Patparganj,108.45,309.15,53.31,1.31,30.74,206.07822410147992
2024-02-18,Anand Vihar,173.51,434.15,157.91,4.31,19.58,330.15
2024-02-18,Vivek_vihar,164.79,322.98,62.55,3.71,11.23,265.63424947145876
2024-02-19,Sonia_Vihar,106.36,331.01,48.73,1.28,82.56,227.01
2024-02-19,ITO,110.81,199.15,30.43,1.16,36.27,208.57293868921778
2024-02-19,Ashok_Vihar,81.74,300.15,43.26,0.65,11.27,196.14999999999998
2024-02-19,Vivek_vihar,100.93,240.86,40.54,0.62,23.51,198.12896405919662
2024-02-19,Mandir Marg,88.89,152.74,106.36,1.09,18.16,185.4016913319239
2024-02-19,Anand Vihar,99.51,266.69,56.27,2.07,21.44,196.62790697674419
2024-02-19,Patparganj,76.97,259.44,40.0,0.51,49.84,172.80126849894293
2024-02-20,Ashok_Vihar,119.98,253.01,58.58,1.23,6.46,218.2663847780127
2024-02-20,Mandir Marg,126.07,176.98,102.34,2.05,12.23,224.7040169133192
2024-02-20,Sonia_Vihar,145.96,249.17,50.77,1.69,60.23,245.7293868921776
2024-02-20,Anand Vihar,122.51,266.6,83.02,2.63,22.69,220.94080338266386
2024-02-20,Patparganj,86.85,246.08,38.86,0.93,21.04,183.24524312896406
2024-02-20,Vivek_vihar,164.92,231.29,49.06,1.23,15.77,265.7716701902748
2024-02-20,ITO,169.92,246.18,41.22,2.02,19.87,271.05708245243125
2024-02-21,Mandir Marg,91.66,158.08,99.12,0.66,13.87,188.32980972515855
2024-02-21,Sonia_Vihar,101.49,207.3,36.26,1.11,43.78,198.72093023255815
2024-02-21,Ashok_Vihar,85.09,222.51,40.83,0.68,12.35,181.384778012685
2024-02-21,ITO,110.64,192.63,25.49,0.92,37.45,208.39323467230443
2024-02-21,Vivek_vihar,120.33,223.92,41.78,0.85,15.15,218.63636363636363
2024-02-21,Patparganj,74.29,262.38,39.52,0.75,27.33,169.96828752642708
2024-02-21,Anand Vihar,100.35,266.24,78.24,2.01,20.88,197.51585623678648
2024-02-22,ITO,66.98,139.81,22.35,0.87,54.0,162.24101479915433
2024-02-22,Ashok_Vihar,55.1,173.78,44.49,0.63,13.59,149.25
2024-02-22,Vivek_vihar,71.95,170.18,45.04,0.57,17.33,167.49471458773786
2024-02-22,Patparganj,53.88,192.44,40.24,0.49,31.71,146.20000000000002
2024-02-22,Anand Vihar,72.21,218.4,86.49,1.42,20.61,167.76955602536998
2024-02-22,Sonia_Vihar,66.45,174.64,40.62,1.14,29.81,161.68076109936575
2024-02-22,Mandir Marg,55.02,107.97,97.88,1.3,13.78,149.05
2024-02-23,Ashok_Vihar,50.83,157.65,48.35,0.59,12.4,138.575
2024-02-23,Vivek_vihar,58.99,144.8,48.09,0.56,22.13,153.79492600422833
2024-02-23,Anand Vihar,58.11,186.67,93.98,1.63,20.17,152.8646934460888
2024-02-23,Sonia_Vihar,62.44,155.58,42.97,1.12,77.98,157.4418604651163
2024-02-23,Patparganj,44.94,161.43,40.71,0.54,33.01,123.85
2024-02-23,ITO,66.27,129.56,35.62,1.11,30.5,161.49048625792813
2024-02-23,Mandir Marg,52.35,88.94,94.02,1.4,14.5,142.375
2024-02-24,Patparganj,70.0,223.1,46.26,0.78,30.8,165.43340380549682
2024-02-24,Sonia_Vihar,81.89,227.55,55.38,1.22,52.85,178.00211416490487
2024-02-24,ITO,96.75,188.15,96.54,1.95,27.92,193.7103594080338
2024-02-24,Ashok_Vihar,70.92,210.77,60.76,0.73,12.7,166.4059196617336
2024-02-24,Mandir Marg,71.47,119.97,104.8,1.52,14.7,166.98731501057082
2024-02-24,Anand Vihar,118.96,347.41,151.14,1.77,19.24,243.41000000000003
2024-02-24,Vivek_vihar,103.34,211.12,66.11,0.91,21.24,200.67653276955605
2024-02-25,Vivek_vihar,118.06,219.99,57.01,0.75,23.23,216.23678646934462
2024-02-25,Ashok_Vihar,73.29,197.16,47.77,0.65,8.25,168.91120507399577
2024-02-25,Sonia_Vihar,89.02,196.65,49.62,1.12,56.08,185.53911205073996
2024-02-25,Mandir Marg,70.89,112.91,103.83,1.32,13.84,166.37420718816068
2024-02-25,ITO,91.79,167.25,77.05,1.56,29.51,188.46723044397464
2024-02-25,Anand Vihar,110.47,244.75,97.91,0.88,18.81,208.2135306553911
2024-02-25,Patparganj,54.84,178.58,38.46,0.56,43.73,148.60000000000002
2024-02-26,Mandir Marg,60.12,120.22,104.01,1.35,15.73,154.9894291754757
2024-02-26,Patparganj,61.19,203.86,39.41,0.74,49.57,156.12050739957718
2024-02-26,ITO,81.32,160.46,75.95,1.78,28.21,177.39957716701903
2024-02-26,Sonia_Vihar,74.27,164.24,47.95,1.07,51.58,169.94714587737843
2024-02-26,Vivek_vihar,114.58,225.35,62.61,0.92,23.44,212.5581395348837
2024-02-26,Anand Vihar,112.33,275.38,112.64,1.09,18.53,210.17970401691332
2024-02-26,Ashok_Vihar,70.48,231.83,54.79,0.87,8.16,165.94080338266386
2024-02-27,Mandir Marg,64.09,192.58,105.55,0.95,15.32,159.18604651162792
2024-02-27,ITO,69.27,118.68,52.22,1.12,25.56,164.66173361522198
2024-02-27,Vivek_vihar,80.12,152.86,44.49,0.63,16.84,176.1310782241015
2024-02-27,Sonia_Vihar,60.34,123.72,37.32,1.06,48.91,155.22198731501058
2024-02-27,Patparganj,47.64,151.71,38.75,0.55,36.34,130.6
2024-02-27,Anand Vihar,67.89,178.39,76.31,0.75,18.33,163.2029598308668
2024-02-27,Ashok_Vihar,60.21,163.85,40.73,0.55,7.2,155.08456659619452
2024-02-28,Anand Vihar,55.57,173.89,75.04,0.77,19.39,150.17970401691332
2024-02-28,Vivek_vihar,64.94,144.75,38.68,0.59,19.88,160.0845665961945
2024-02-28,Sonia_Vihar,57.53,126.9,34.55,1.09,70.25,152.25158562367864
2024-02-28,Ashok_Vihar,52.42,154.51,31.42,0.62,7.86,142.55
2024-02-28,Patparganj,48.12,152.31,40.86,0.67,42.9,131.8
2024-02-28,Mandir Marg,55.67,111.04,93.86,1.24,19.91,150.28541226215646
2024-02-28,ITO,62.74,112.06,41.12,1.12,29.04,157.75898520084567
2024-02-29,Sonia_Vihar,58.74,142.83,40.76,1.36,81.88,153.53065539112052
2024-02-29,ITO,70.64,128.8,55.79,1.43,32.21,166.10993657505287
2024-02-29,Patparganj,53.04,164.41,45.32,0.77,51.43,144.1
2024-02-29,Ashok_Vihar,56.97,176.79,45.53,0.79,8.27,151.65961945031714
2024-02-29,Vivek_vihar,64.75,146.58,44.24,0.78,24.23,159.88372093023256
2024-02-29,Anand Vihar,76.87,191.92,107.61,0.93,20.85,172.6955602536998
2024-02-29,Mandir Marg,59.34,105.38,108.18,1.56,17.33,154.16490486257928
2024-03-01,Patparganj,69.19,220.65,47.35,0.82,46.41,164.57716701902748
2024-03-01,Anand Vihar,122.95,271.43,113.44,1.66,29.58,221.4059196617336
2024-03-01,Sonia_Vihar,104.11,288.23,66.12,1.45,59.7,201.49048625792813
2024-03-01,Ashok_Vihar,78.88,221.06,65.59,0.91,8.42,174.82029598308668
2024-03-01,ITO,108.55,194.53,123.24,1.76,29.09,206.18393234672305
2024-03-01,Vivek_vihar,106.12,223.03,69.12,1.09,20.65,203.615221987315
2024-03-01,Mandir Marg,79.24,141.29,123.72,1.27,13.95,175.20084566596194
2024-03-02,Mandir Marg,25.01,60.49,105.11,1.16,13.21,101.96538461538462
2024-03-02,Anand Vihar,43.07,101.53,36.47,1.29,20.52,119.17500000000001
2024-03-02,ITO,55.22,85.83,47.97,0.85,17.03,149.55
2024-03-02,Patparganj,20.11,82.44,26.58,0.38,34.39,67.32905982905983
2024-03-02,Vivek_vihar,32.14,75.28,26.8,0.42,11.78,93.03418803418803
2024-03-02,Sonia_Vihar,33.19,117.15,31.73,1.13,35.85,95.27777777777777
2024-03-02,Ashok_Vihar,22.84,82.33,19.2,0.43,6.81,73.16239316239316
2024-03-03,Mandir Marg,37.53,137.71,103.77,1.29,15.53,105.325
2024-03-03,Patparganj,37.35,158.38,25.63,0.43,39.52,104.875
2024-03-03,Vivek_vihar,52.94,145.97,31.24,0.54,12.53,143.85
2024-03-03,Sonia_Vihar,41.41,154.15,26.04,1.11,45.83,115.02499999999999
2024-03-03,ITO,57.95,134.93,41.38,0.79,23.55,152.6955602536998
2024-03-03,Anand Vihar,65.08,158.5,56.88,1.59,14.79,160.2325581395349
2024-03-03,Ashok_Vihar,42.44,185.68,22.74,0.47,7.72,117.6
2024-03-04,Mandir Marg,38.28,85.47,99.67,1.38,10.69,107.2
2024-03-04,Ashok_Vihar,40.26,133.34,28.72,0.5,8.63,112.15
2024-03-04,Vivek_vihar,64.92,137.45,36.17,0.54,23.49,160.06342494714588
2024-03-04,ITO,49.95,107.65,50.53,0.9,37.03,136.375
2024-03-04,Anand Vihar,64.98,159.28,62.52,1.32,22.24,160.12684989429175
2024-03-04,Patparganj,27.69,125.83,27.74,0.37,69.13,97.28124999999999
2024-03-04,Sonia_Vihar,41.33,110.17,27.88,1.18,61.82,114.825
2024-03-05,Sonia_Vihar,48.61,119.59,28.56,1.12,79.43,133.025
2024-03-05,Patparganj,30.52,132.25,26.9,0.42,71.29,104.30000000000003
2024-03-05,ITO,53.6,107.64,35.49,0.78,39.25,145.5
2024-03-05,Ashok_Vihar,46.84,135.82,27.76,0.46,9.81,128.60000000000002
2024-03-05,Vivek_vihar,51.04,126.3,32.6,0.42,29.47,139.1
2024-03-05,Mandir Marg,47.96,93.57,111.0,1.29,9.94,131.4
2024-03-05,Anand Vihar,56.05,151.86,57.85,1.2,28.49,150.68710359408033
2024-03-06,Patparganj,37.07,145.99,37.46,0.56,69.09,104.17500000000001
2024-03-06,Sonia_Vihar,59.41,131.59,34.32,1.17,76.2,154.23890063424946
2024-03-06,Ashok_Vihar,53.1,143.27,33.12,0.59,10.23,144.25
2024-03-06,Vivek_vihar,59.95,134.19,40.84,0.58,29.23,154.80972515856237
2024-03-06,ITO,67.53,117.87,36.41,0.93,40.33,162.82241014799155
2024-03-06,Anand Vihar,72.57,170.48,70.98,1.34,30.27,168.15010570824523
2024-03-06,Mandir Marg,59.44,102.1,114.83,1.44,9.96,154.2706131078224
2024-03-07,Sonia_Vihar,81.63,187.34,43.55,1.32,65.56,177.72727272727272
2024-03-07,Patparganj,47.43,178.31,40.41,0.56,61.78,130.075
2024-03-07,ITO,84.36,156.65,70.11,1.22,31.77,180.61310782241014
2024-03-07,Anand Vihar,96.56,218.59,85.44,1.52,18.5,193.50951374207187
2024-03-07,Vivek_vihar,78.76,175.97,52.7,0.68,21.03,174.69344608879493
2024-03-07,Mandir Marg,72.59,132.05,120.67,1.19,9.89,168.17124735729388
2024-03-07,Ashok_Vihar,75.5,213.2,47.47,0.68,8.58,171.24735729386893
2024-03-08,Vivek_vihar,62.88,140.78,39.97,0.52,20.41,157.90697674418604
2024-03-08,Ashok_Vihar,54.93,156.21,35.11,0.58,9.14,148.825
2024-03-08,Patparganj,39.07,156.0,36.86,0.54,65.49,109.17500000000001
2024-03-08,Anand Vihar,72.86,167.7,65.93,1.24,27.66,168.4566596194503
2024-03-08,Mandir Marg,56.12,106.15,119.17,1.2,9.9,150.76109936575054
2024-03-08,Sonia_Vihar,57.27,135.31,31.7,1.17,70.06,151.97674418604652
2024-03-08,ITO,63.66,121.59,47.66,0.91,33.61,158.73150105708245
2024-03-09,Anand Vihar,70.85,160.92,75.59,1.29,29.79,166.33192389006342
2024-03-09,ITO,57.72,102.44,38.89,0.86,39.32,152.4524312896406
2024-03-09,Mandir Marg,53.25,92.24,126.65,1.45,9.94,144.625
2024-03-09,Sonia_Vihar,50.97,115.32,29.15,1.14,82.37,141.23333333333335
2024-03-09,Vivek_vihar,58.03,130.55,40.42,0.54,26.03,152.7801268498943
2024-03-09,Ashok_Vihar,53.09,141.81,37.24,0.61,10.42,144.22500000000002
2024-03-09,Patparganj,36.51,140.06,38.96,0.5,64.05,102.775
2024-03-10,Sonia_Vihar,74.81,175.5,41.39,1.41,69.2,170.51797040169134
2024-03-10,Vivek_vihar,80.87,168.9,52.09,0.7,25.89,176.92389006342495
2024-03-10,ITO,88.17,150.74,53.29,1.17,35.59,184.64059196617336
2024-03-10,Patparganj,53.5,210.86,44.93,0.71,66.4,145.25
2024-03-10,Mandir Marg,78.35,135.69,153.41,1.71,9.89,174.2600422832981
2024-03-10,Ashok_Vihar,68.88,185.91,43.72,0.7,10.04,164.24947145877377
2024-03-10,Anand Vihar,99.39,217.33,97.87,1.56,30.56,196.50105708245243
2024-03-11,Vivek_vihar,112.73,212.3,55.33,0.96,24.42,210.60253699788584
2024-03-11,Mandir Marg,78.05,139.04,161.7,1.57,9.9,173.9429175475687
2024-03-11,ITO,96.54,168.61,72.99,1.25,30.93,193.48837209302326
2024-03-11,Patparganj,59.9,222.14,39.47,0.64,58.8,154.7568710359408
2024-03-11,Sonia_Vihar,92.06,201.48,38.7,1.51,82.78,188.7526427061311
2024-03-11,Ashok_Vihar,74.91,211.82,40.1,0.77,11.21,170.62367864693445
2024-03-12,Sonia_Vihar,88.67,186.9,36.89,1.37,73.05,185.169133192389
2024-03-12,Vivek_vihar,105.33,190.07,44.06,0.77,17.78,202.7801268498943
2024-03-12,ITO,89.73,155.2,51.31,1.01,33.36,186.2896405919662
2024-03-12,Patparganj,51.42,200.04,39.85,0.68,46.04,140.05
2024-03-12,Mandir Marg,79.3,144.79,161.57,1.45,9.88,175.2642706131078
2024-03-12,Ashok_Vihar,71.97,191.7,37.14,0.76,9.31,167.51585623678648
2024-03-13,Mandir Marg,60.4,111.45,144.71,1.46,10.8,155.28541226215646
2024-03-13,Ashok_Vihar,70.6,209.84,45.83,0.82,8.51,166.06765327695558
2024-03-13,ITO,80.01,138.17,69.86,1.31,28.65,176.01479915433404
2024-03-13,Patparganj,45.01,175.08,40.49,0.65,40.47,124.025
2024-03-13,Vivek_vihar,93.46,181.06,56.63,0.82,14.63,190.2325581395349
2024-03-13,Sonia_Vihar,78.79,183.72,46.61,1.46,66.61,174.72515856236788
2024-03-14,Ashok_Vihar,73.67,218.51,30.38,0.76,8.49,169.31289640591967
2024-03-14,Sonia_Vihar,86.24,176.03,30.15,1.33,65.17,182.60042283298097
2024-03-14,Patparganj,49.97,219.95,36.23,0.8,34.91,136.425
2024-03-14,ITO,47.43,104.81,78.98,1.2,30.89,130.075
2024-03-14,Mandir Marg,74.65,137.16,149.23,1.6,9.04,170.34883720930233
2024-03-14,Vivek_vihar,147.08,253.57,44.86,0.93,14.03,246.91331923890064
2024-03-15,ITO,35.78,83.25,46.66,0.82,34.81,100.95
2024-03-15,Ashok_Vihar,38.44,148.95,32.1,0.56,9.37,107.6
2024-03-15,Vivek_vihar,38.01,127.95,36.75,0.48,20.43,106.525
2024-03-15,Sonia_Vihar,38.58,116.12,33.31,1.2,62.2,107.95
2024-03-15,Mandir Marg,31.26,69.42,141.34,1.22,10.7,115.9
2024-03-15,Patparganj,23.21,122.53,35.46,0.45,38.94,84.265
2024-03-16,Mandir Marg,60.2,112.5,149.85,1.6,16.36,155.07399577167018
2024-03-16,Vivek_vihar,66.5,164.12,47.1,0.64,26.83,161.73361522198732
2024-03-16,Sonia_Vihar,79.13,178.83,42.79,1.38,68.72,175.0845665961945
2024-03-16,Ashok_Vihar,73.28,235.56,50.77,0.7,7.51,168.90063424947147
2024-03-16,Patparganj,36.73,187.6,42.87,0.59,52.78,116.8
2024-03-16,ITO,69.61,137.88,56.64,1.03,38.56,165.02114164904862
2024-03-17,Sonia_Vihar,78.68,177.7,39.77,1.3,70.19,174.60887949260044
2024-03-17,Ashok_Vihar,81.77,220.57,49.92,0.77,6.64,177.87526427061312
2024-03-17,ITO,76.35,135.69,52.24,0.96,36.7,172.1458773784355
2024-03-17,Patparganj,43.29,217.99,44.54,0.67,45.89,131.995
2024-03-17,Vivek_vihar,74.99,169.86,45.71,0.64,25.66,170.70824524312897
2024-03-17,Mandir Marg,66.96,123.65,155.24,1.52,12.79,162.2198731501057
2024-03-18,ITO,90.04,154.84,50.83,1.13,33.03,186.61733615221988
2024-03-18,Vivek_vihar,76.98,174.68,45.02,0.68,29.45,172.81183932346724
2024-03-18,Mandir Marg,79.07,134.86,157.56,1.48,11.94,175.02114164904862
2024-03-18,Sonia_Vihar,82.6,187.06,41.76,1.43,68.79,178.75264270613107
2024-03-18,Patparganj,41.83,211.86,47.13,0.71,43.1,128.93
2024-03-18,Ashok_Vihar,85.77,230.47,53.33,0.86,6.1,182.10359408033827
2024-03-19,ITO,103.46,183.88,70.87,1.33,34.6,200.80338266384777
2024-03-19,Vivek_vihar,105.99,232.99,58.17,1.03,22.94,203.47780126849892
2024-03-19,Ashok_Vihar,100.99,270.19,55.44,0.95,7.94,198.1923890063425
2024-03-19,Sonia_Vihar,97.69,249.1,42.75,1.74,74.53,194.70401691331924
2024-03-19,Mandir Marg,86.5,156.14,135.23,1.7,22.72,182.87526427061312
2024-03-19,Patparganj,53.98,269.77,46.39,0.84,46.49,165.76999999999998
2024-03-20,Patparganj,49.1,249.22,47.76,0.8,40.83,147.61
2024-03-20,Vivek_vihar,113.96,235.01,56.34,1.02,21.97,211.9027484143763
2024-03-20,Ashok_Vihar,94.31,257.44,57.05,0.93,6.48,191.1310782241015
2024-03-20,Mandir Marg,81.91,146.74,113.26,1.55,9.13,178.02325581395348
2024-03-20,Sonia_Vihar,94.09,204.14,40.22,1.56,71.88,190.8985200845666
2024-03-20,ITO,101.85,187.54,90.29,1.57,31.38,199.1014799154334
2024-03-21,Sonia_Vihar,89.69,232.85,35.27,1.47,39.03,186.24735729386893
2024-03-21,Vivek_vihar,74.97,175.53,36.56,0.73,16.82,170.68710359408033
2024-03-21,Ashok_Vihar,64.02,209.61,33.86,0.81,5.93,159.1120507399577
2024-03-21,ITO,99.09,173.78,77.93,1.35,14.0,196.18393234672305
2024-03-21,Mandir Marg,62.24,120.62,107.95,1.46,10.07,157.23044397463002
2024-03-21,Patparganj,38.62,207.47,32.21,0.63,42.19,126.735
2024-03-22,Sonia_Vihar,84.82,213.42,40.68,1.54,48.02,181.09936575052853
2024-03-22,Ashok_Vihar,72.96,216.94,47.2,1.25,8.12,168.56236786469344
2024-03-22,ITO,118.42,188.47,63.99,1.67,25.23,216.61733615221988
2024-03-22,Mandir Marg,72.25,128.81,112.38,1.74,11.18,167.81183932346724
2024-03-22,Vivek_vihar,88.91,188.16,44.42,1.17,35.22,185.42283298097252
2024-03-22,Patparganj,50.62,204.0,35.94,0.93,40.5,138.05
2024-03-22,Anand Vihar,140.75,106.0,56.46,1.83,45.51,240.22198731501055
2024-03-23,ITO,126.32,199.66,84.35,1.3,33.16,224.96828752642705
2024-03-23,Mandir Marg,71.61,135.09,107.1,1.72,10.82,167.13530655391122
2024-03-23,Sonia_Vihar,100.74,236.66,41.3,1.43,25.93,197.92811839323468
2024-03-23,Anand Vihar,96.45,271.79,52.97,2.75,23.71,193.39323467230446
2024-03-23,Ashok_Vihar,83.24,239.14,54.39,0.75,3.72,179.4291754756871
2024-03-23,Vivek_vihar,115.81,286.64,54.54,1.21,22.24,213.8583509513742
2024-03-23,Patparganj,53.74,218.54,35.88,1.05,31.67,145.85000000000002
2024-03-24,ITO,84.96,166.42,55.01,1.12,26.23,181.2473572938689
2024-03-24,Sonia_Vihar,73.26,207.64,34.95,1.45,19.39,168.87949260042285
2024-03-24,Patparganj,49.5,215.95,33.59,0.94,22.96,135.25
2024-03-24,Anand Vihar,77.52,325.63,34.14,1.51,12.75,221.63
2024-03-24,Ashok_Vihar,81.17,262.97,39.91,0.83,2.89,177.24101479915433
2024-03-24,Vivek_vihar,84.58,239.47,47.38,0.87,20.18,180.84566596194503
2024-03-24,Mandir Marg,59.16,130.05,102.25,1.48,6.98,153.97463002114165
2024-03-25,Sonia_Vihar,101.04,170.96,25.26,1.4,27.89,198.24524312896406
2024-03-25,ITO,116.98,145.39,51.33,1.05,32.32,215.0951374207188
2024-03-25,Mandir Marg,77.5,115.28,100.47,1.62,6.95,173.3615221987315
2024-03-25,Patparganj,46.23,198.85,24.05,0.96,26.36,127.07499999999999
2024-03-25,Ashok_Vihar,97.29,183.43,24.33,0.61,3.31,194.28118393234672
2024-03-26,Mandir Marg,53.82,98.55,103.11,1.37,9.2,146.05
2024-03-26,ITO,90.52,131.24,49.29,0.98,38.2,187.12473572938688
2024-03-26,Sonia_Vihar,63.17,134.17,28.78,1.32,32.57,158.2135306553911
2024-03-26,Anand Vihar,119.33,77.33,39.3,0.9,50.75,217.57928118393235
2024-03-26,Patparganj,32.78,159.27,28.82,0.79,36.05,102.635
2024-03-26,Ashok_Vihar,70.17,179.09,30.87,0.69,4.22,165.61310782241014
2024-03-26,Vivek_vihar,67.49,183.91,37.52,0.67,36.98,162.7801268498943
2024-03-27,Patparganj,39.96,205.47,31.67,1.09,27.71,125.735
2024-03-27,Anand Vihar,54.76,225.76,57.87,0.7,9.4,148.4
2024-03-27,Mandir Marg,51.64,102.33,107.32,1.47,8.25,140.60000000000002
2024-03-27,Vivek_vihar,86.22,202.4,52.35,1.05,26.86,182.57928118393235
2024-03-27,Sonia_Vihar,63.97,164.1,36.19,1.53,21.25,159.05919661733614
2024-03-27,Ashok_Vihar,56.98,172.8,43.28,0.72,2.62,151.67019027484145
2024-03-27,ITO,73.5,133.51,70.12,1.16,32.69,169.13319238900635
2024-03-28,Ashok_Vihar,61.99,179.11,38.24,0.59,5.42,156.9661733615222
2024-03-28,Patparganj,42.73,173.5,30.32,0.71,46.47,118.32499999999999
2024-03-28,Mandir Marg,52.94,109.65,109.73,1.3,18.04,143.85
2024-03-28,Sonia_Vihar,59.4,147.92,29.21,1.3,29.1,154.22832980972515
2024-03-28,Vivek_vihar,61.81,169.34,43.74,0.67,37.0,156.77589852008458
2024-03-28,Anand Vihar,62.93,208.66,58.25,0.35,79.74,157.9598308668076
2024-03-28,ITO,66.42,131.67,50.37,0.91,39.95,161.64904862579283
2024-03-29,Sonia_Vihar,80.19,229.69,41.35,1.5,45.18,176.20507399577167
2024-03-29,ITO,67.69,134.29,62.52,1.17,30.71,162.99154334038056
2024-03-29,Ashok_Vihar,80.7,223.69,41.85,0.77,8.46,176.74418604651163
2024-03-29,Anand Vihar,87.14,242.44,55.07,0.57,90.55,183.55179704016913
2024-03-29,Vivek_vihar,79.2,203.87,48.75,0.76,42.57,175.1585623678647
2024-03-29,Mandir Marg,56.54,119.11,110.23,1.34,17.65,151.20507399577167
2024-03-29,Patparganj,57.84,211.68,32.85,0.56,52.56,152.57928118393235
2024-03-30,Mandir Marg,66.27,139.34,103.57,1.54,16.35,161.49048625792813
2024-03-30,Vivek_vihar,77.51,224.43,47.84,1.06,40.52,173.37209302325581
2024-03-30,Patparganj,66.74,224.2,33.75,0.8,50.3,161.98731501057082
2024-03-30,Ashok_Vihar,81.39,239.28,42.81,0.95,9.7,177.47357293868922
2024-03-30,Anand Vihar,95.31,301.58,63.32,0.77,43.79,197.57999999999998
2024-03-30,Sonia_Vihar,78.93,225.96,38.63,1.33,29.17,174.87315010570825
2024-03-30,ITO,75.44,166.52,70.34,1.46,34.33,171.18393234672305
2024-03-31,Mandir Marg,77.72,152.14,102.34,1.73,15.9,173.5940803382664
2024-03-31,Vivek_vihar,94.51,253.48,41.36,0.94,46.72,191.34249471458776
2024-03-31,Patparganj,82.68,236.92,31.92,0.67,48.95,178.8372093023256
2024-03-31,Ashok_Vihar,87.98,249.33,32.94,0.65,5.04,184.43974630021143
2024-03-31,Sonia_Vihar,84.02,202.44,25.5,1.31,23.45,180.2536997885835
2024-03-31,ITO,105.04,153.13,65.72,1.12,34.72,202.47357293868922
2024-03-31,Anand Vihar,156.73,407.53,64.4,1.22,61.73,303.53
2024-04-01,Sonia_Vihar,38.77,113.52,22.55,1.09,29.18,108.42500000000001
2024-04-01,Vivek_vihar,43.75,143.1,31.9,0.43,38.03,120.875
2024-04-01,Mandir Marg,33.82,84.74,96.7,1.35,19.09,96.62393162393163
2024-04-01,Patparganj,39.43,147.49,27.43,0.41,38.34,110.075
2024-04-01,Ashok_Vihar,45.74,174.53,20.53,0.48,5.91,125.85000000000001
2024-04-01,ITO,43.03,77.79,44.58,0.72,34.23,119.075
2024-04-01,Anand Vihar,35.21,185.08,62.01,3.39,53.07,115.54
2024-04-02,Anand Vihar,51.64,189.13,51.46,3.16,42.68,140.60000000000002
2024-04-02,ITO,37.17,66.03,47.79,0.92,36.24,104.42500000000001
2024-04-02,Vivek_vihar,46.88,158.06,38.13,0.5,48.82,128.70000000000002
2024-04-02,Sonia_Vihar,47.14,139.04,31.35,1.25,34.2,129.35
2024-04-02,Ashok_Vihar,52.14,183.9,30.77,0.54,10.21,141.85000000000002
2024-04-02,Mandir Marg,37.76,88.42,100.5,1.45,20.17,105.9
2024-04-02,Patparganj,38.85,178.51,33.59,0.41,56.47,112.255
2024-04-03,Anand Vihar,91.45,277.52,86.23,3.37,38.21,188.107822410148
2024-04-03,Sonia_Vihar,76.48,235.77,46.13,1.66,36.04,172.2832980972516
2024-04-03,ITO,51.27,72.77,74.4,1.3,34.89,139.675
2024-04-03,Ashok_Vihar,65.93,232.46,49.64,0.81,18.26,161.1310782241015
2024-04-03,Vivek_vihar,98.51,236.92,59.69,0.98,49.88,195.5708245243129
2024-04-03,Mandir Marg,47.44,117.57,111.95,1.76,14.74,130.1
2024-04-03,Patparganj,74.81,220.28,44.96,0.74,60.85,170.51797040169134
2024-04-04,Vivek_vihar,77.5,210.83,56.94,0.79,42.55,173.3615221987315
2024-04-04,Mandir Marg,39.84,108.51,97.03,1.41,15.12,111.10000000000001
2024-04-04,Patparganj,56.91,210.98,42.46,0.7,55.59,151.59619450317123
2024-04-04,Sonia_Vihar,50.1,160.55,41.53,1.42,32.36,136.75
2024-04-04,Ashok_Vihar,47.8,192.89,50.98,0.64,8.21,131.0
2024-04-04,Anand Vihar,87.85,288.67,76.09,2.28,31.72,184.67000000000002
2024-04-04,ITO,42.11,60.71,52.29,1.1,36.03,116.775
2024-04-05,Patparganj,51.06,188.57,37.98,0.58,44.83,139.15
2024-04-05,Mandir Marg,42.21,124.55,87.34,0.76,20.84,117.025
2024-04-05,Vivek_vihar,56.71,195.38,43.95,0.58,41.99,151.384778012685
2024-04-05,Ashok_Vihar,54.34,208.52,42.35,0.59,7.96,147.35000000000002
2024-04-05,Anand Vihar,70.59,249.46,62.95,0.67,23.87,166.0570824524313
2024-04-05,Sonia_Vihar,50.68,160.33,36.17,1.22,32.97,138.2
2024-04-05,ITO,52.94,76.35,41.52,0.89,31.92,143.85
2024-04-06,Sonia_Vihar,67.85,169.34,32.78,1.21,43.05,163.16067653276954
2024-04-06,Vivek_vihar,62.62,183.46,42.61,0.55,57.82,157.63213530655392
